date,metric_type,Provider Name,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps,Minimum Latency,Test Count,Sample Count,User Count
11/3/2024,mean,Citynet,97272,103086,97.27,103.09,8,3650,1109,1899
11/3/2024,mean,EngiNet,59444,60908,59.44,60.91,10,640,204,403
11/3/2024,mean,Aztelekom,147228,132155,147.23,132.16,12,3343,901,1738
11/3/2024,mean,Azeronline,144989,151118,144.99,151.12,20,1980,541,1051
11/3/2024,mean,Baktelekom,158924,150937,158.92,150.94,7,3650,1134,2114
11/3/2024,mean,ULTEL,80130,78262,80.13,78.26,7,383,92,146
11/3/2024,mean,Delta Telecom,50160,53853,50.16,53.85,6,436,134,278
11/3/2024,mean,Smart Online,30837,22458,30.84,22.46,9,116,23,67
11/3/2024,mean,alfanet,49647,49019,49.65,49.02,8,152,43,91
11/3/2024,mean,Teleport,26135,33740,26.14,33.74,23,147,45,76
11/3/2024,mean,Azeurotel,66375,65548,66.38,65.55,7,354,62,102
11/3/2024,mean,Sazz,101172,132816,101.17,132.82,9,202,23,77
11/3/2024,mean,GSP,52571,63375,52.57,63.38,5,170,57,108
11/3/2024,mean,KATV 1,63363,63972,63.36,63.97,5,2813,808,1570
11/3/2024,mean,Caspian Telecom,63353,66797,63.35,66.8,5,730,226,423
11/3/2024,mean,AzFiberNet,72321,72347,72.32,72.35,8,209,52,98
11/3/2024,mean,SparkTel,80833,85795,80.83,85.8,6,164,57,90
11/3/2024,mean,Rahat Telecom,61957,56045,61.96,56.05,5,120,36,71
11/3/2024,mean,BeeOnline,66784,56789,66.78,56.79,6,173,54,103
11/3/2024,mean,iZONE,56833,54266,56.83,54.27,4,165,39,80
11/3/2024,mean,Connect CJSC,69400,55840,69.4,55.84,5,216,45,89
11/3/2024,mean,Selnet,39163,101001,39.16,101,6,384,118,215
11/3/2024,mean,ArazNET,12541,14890,12.54,14.89,11,105,21,53
11/3/2024,mean,Bulud Telecom,50909,58492,50.91,58.49,15,138,44,83
11/3/2024,mean,Metronet,52658,51883,52.66,51.88,5,200,64,123
11/3/2024,median,All Providers Combined,66314,67718,66.31,67.72,5,20996,5913,10997
11/3/2024,median,Citynet,85179,86055,85.18,86.06,4,3650,1109,1899
11/3/2024,median,EngiNet,46464,46793,46.46,46.79,5,640,204,403
11/3/2024,median,Aztelekom,78072,74232,78.07,74.23,8,3343,901,1738
11/3/2024,median,Azeronline,94189,95887,94.19,95.89,10,1980,541,1051
11/3/2024,median,Baktelekom,71006,75363,71.01,75.36,5,3650,1134,2114
11/3/2024,median,ULTEL,77566,78614,77.57,78.61,3,383,92,146
11/3/2024,median,Delta Telecom,36595,36568,36.6,36.57,4,436,134,278
11/3/2024,median,Smart Online,29212,19628,29.21,19.63,5,116,23,67
11/3/2024,median,alfanet,51901,50224,51.9,50.22,4,152,43,91
11/3/2024,median,Teleport,28291,36902,28.29,36.9,16,147,45,76
11/3/2024,median,Azeurotel,59464,58856,59.46,58.86,4,354,62,102
11/3/2024,median,Sazz,58826,87335,58.83,87.34,5,202,23,77
11/3/2024,median,GSP,44478,44664,44.48,44.66,4,170,57,108
11/3/2024,median,KATV 1,66202,73383,66.2,73.38,3,2813,808,1570
11/3/2024,median,Caspian Telecom,73516,76834,73.52,76.83,3,730,226,423
11/3/2024,median,AzFiberNet,52108,54158,52.11,54.16,4,209,52,98
11/3/2024,median,SparkTel,53824,54635,53.82,54.64,4,164,57,90
11/3/2024,median,Rahat Telecom,67772,49495,67.77,49.5,4,120,36,71
11/3/2024,median,BeeOnline,51273,48970,51.27,48.97,4,173,54,103
11/3/2024,median,iZONE,48910,38858,48.91,38.86,3,165,39,80
11/3/2024,median,Connect CJSC,47825,45902,47.83,45.9,3,216,45,89
11/3/2024,median,Selnet,40270,50940,40.27,50.94,6,384,118,215
11/3/2024,median,ArazNET,12012,15032,12.01,15.03,4,105,21,53
11/3/2024,median,Bulud Telecom,42870,47500,42.87,47.5,5,138,44,83
11/3/2024,median,Metronet,51371,50612,51.37,50.61,4,200,64,123
11/4/2024,mean,All Providers Combined,108883,109538,108.88,109.54,10,20126,5557,10185
11/4/2024,mean,Citynet,98204,99167,98.2,99.17,9,3121,951,1661
11/4/2024,mean,EngiNet,61801,60417,61.8,60.42,10,706,183,387
11/4/2024,mean,Aztelekom,146020,133533,146.02,133.53,13,3434,931,1757
11/4/2024,mean,Azeronline,139593,159039,139.59,159.04,23,1874,540,978
11/4/2024,mean,Baktelekom,153316,149228,153.32,149.23,9,3566,1043,1872
11/4/2024,mean,ULTEL,120023,108323,120.02,108.32,8,246,72,139
11/4/2024,mean,Delta Telecom,75842,80812,75.84,80.81,10,736,222,362
11/4/2024,mean,TransEuroCom,36349,41083,36.35,41.08,7,103,23,49
11/4/2024,mean,alfanet,50030,52658,50.03,52.66,7,120,43,78
11/4/2024,mean,Teleport,34853,38489,34.85,38.49,10,191,53,83
11/4/2024,mean,Azeurotel,73548,72332,73.55,72.33,10,247,80,124
11/4/2024,mean,Sazz,235586,280713,235.59,280.71,5,110,46,63
11/4/2024,mean,GSP,62383,60051,62.38,60.05,7,299,72,151
11/4/2024,mean,KATV 1,66059,66263,66.06,66.26,5,2241,572,1239
11/4/2024,mean,Caspian Telecom,60075,62304,60.08,62.3,6,799,198,365
11/4/2024,mean,AzFiberNet,67054,68966,67.05,68.97,4,180,52,95
